"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"2024-02-11 21:40","Pamiętaj, że jedzenie więcej niż 3 pączków nie jest zalecane #tlustyczwartek #paczki #zdrowie ","https://www.tiktok.com/@undefined/video/7333242421595229472","2024-02-08 15:46","16710","799","895","353967"
"2024-02-11 21:40","Czy szef wymieni cię na AI? #chatgpt #programmingchallenge #ai ","https://www.tiktok.com/@undefined/video/7332566008831511840","2024-02-06 20:01","47","1","0","1084"
"2024-02-11 21:40","zagadka dnia xd #tictactoe #zagadka #teleturniej ","https://www.tiktok.com/@undefined/video/7332117558281227553","2024-02-05 15:01","321","24","1","18256"
"2024-02-11 21:40","Po tym filmie już nigdy nie przegrasz w kółko i krzyżyk #ciekawostka #tictactoe #grykarciane #python ","https://www.tiktok.com/@undefined/video/7331849550476430625","2024-02-04 21:40","3594","28","30","145008"
